No.,Ticker,Company,Sector,Industry,Country,P/E,Dividend Yield,Institutional Ownership,Institutional Transactions,Performance (Week),Performance (Month),Performance (Quarter),Performance (Year),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Price,Change,Volume
109,SNAK,"Inventure Foods, Inc.",Consumer Goods,Processed & Packaged Goods,USA,,,97.40%,0.40%,-6.20%,-6.94%,-32.18%,-4.07%,-4.07%,-23.54%,-29.37%,-41.87%,12.38%,26.12,5.9,-1.17%,121441
110,SPAR,"Spartan Motors, Inc.",Consumer Goods,Trucks & Other Vehicles,USA,,1.42%,73.60%,0.85%,-6.00%,-20.34%,-22.10%,120.79%,-13.23%,-19.19%,-14.25%,-32.43%,144.14%,35.32,7.05,-7.84%,441563
111,SCL,Stepan Company,Consumer Goods,Cleaning Products,USA,18.88,1.12%,65.20%,0.26%,-6.10%,-9.29%,-8.42%,50.77%,-5.20%,-8.41%,3.48%,-16.01%,67.27%,36.79,73.07,3.28%,112551
112,HNI,HNI Corporation,Consumer Goods,Business Equipment,USA,24.3,2.41%,68.90%,-1.15%,-0.32%,-11.27%,-14.19%,39.78%,-4.32%,-10.45%,-4.77%,-19.39%,42.90%,35.42,45.63,-0.35%,130474
113,DAN,Dana Incorporated,Consumer Goods,Auto Parts,USA,4.34,1.26%,99.90%,2.06%,-1.81%,-6.54%,10.33%,60.57%,-3.84%,-2.51%,24.23%,-7.81%,95.56%,39.7,19.01,-1.35%,1405461
114,GLT,P. H. Glatfelter Company,Consumer Goods,Paper & Paper Products,USA,46.87,2.19%,95.90%,3.36%,-4.45%,-9.06%,-3.14%,35.06%,-4.54%,-4.88%,4.90%,-10.98%,38.59%,38.5,22.78,-1.04%,109793
115,FOSL,"Fossil Group, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,11.77,,89.40%,2.20%,-5.19%,-27.56%,-47.11%,-58.65%,-16.76%,-24.11%,-32.75%,-63.05%,6.02%,28.1,19.19,-1.18%,2683095
116,FLO,"Flowers Foods, Inc.",Consumer Goods,Processed & Packaged Goods,USA,24.68,3.33%,67.20%,-6.40%,-1.08%,-3.81%,19.90%,16.17%,-3.65%,-2.77%,11.08%,-8.57%,36.64%,39.83,19.2,0.00%,1673751
117,ELY,Callaway Golf Company,Consumer Goods,Sporting Goods,USA,5.13,0.39%,91.20%,4.06%,-1.65%,-15.21%,-18.74%,13.34%,-4.95%,-8.26%,-7.22%,-19.12%,18.76%,37.12,10.14,-0.29%,745374
118,DLA,"Delta Apparel, Inc.",Consumer Goods,Textile - Apparel Clothing,USA,18.45,,75.10%,1.89%,0.80%,-13.26%,-13.60%,4.50%,-3.34%,-9.43%,-9.74%,-30.80%,18.92%,39.82,17.66,-1.94%,20225
119,CSL,Carlisle Companies Incorporated,Consumer Goods,Rubber & Plastics,USA,27.26,1.34%,90.90%,1.45%,-1.01%,-5.93%,-7.00%,18.88%,-2.56%,-4.02%,-0.84%,-9.85%,21.61%,36.64,104.58,-1.01%,554322
120,CROX,"Crocs, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,,,96.80%,-0.90%,-4.86%,-9.02%,-20.53%,-32.45%,-5.24%,-5.58%,-23.14%,-46.89%,3.26%,38.46,6.66,-1.19%,1001177
121,CLW,Clearwater Paper Corporation,Consumer Goods,Paper & Paper Products,USA,19.54,,92.20%,-0.63%,-6.04%,-15.65%,-12.42%,44.65%,-8.37%,-11.55%,-10.20%,-19.64%,48.83%,28.72,56.05,-0.36%,134784
122,BTN,"Ballantyne Strong, Inc",Consumer Goods,Photographic Equipment & Supplies,USA,,,65.60%,-0.30%,1.57%,-12.84%,-6.52%,57.70%,-7.13%,-12.48%,2.50%,-20.37%,59.26%,35.97,6.45,2.38%,11530
123,CALM,"Cal-Maine Foods, Inc.",Consumer Goods,Food - Major Diversified,USA,188.81,6.57%,68.90%,0.70%,-2.57%,-11.23%,-5.08%,-29.25%,-4.96%,-9.51%,-9.51%,-30.93%,6.45%,26.18,37.95,-0.39%,410002
124,BGS,"B&G Foods, Inc.",Consumer Goods,Processed & Packaged Goods,USA,25.23,4.26%,87.30%,2.91%,-7.03%,-3.22%,4.53%,12.56%,-4.11%,-1.93%,-3.13%,-15.81%,41.11%,38.13,43.65,-6.93%,2046809
125,AOI,"Alliance One International, Inc.",Consumer Goods,"Tobacco Products, Other",USA,3.13,,75.60%,3.04%,-3.51%,-26.86%,-11.00%,35.20%,-12.70%,-20.76%,-23.84%,-49.50%,40.16%,29.85,13.75,-1.08%,20151
126,ALCO,"Alico, Inc.",Consumer Goods,Farm Products,USA,25.98,0.93%,73.10%,-0.54%,-1.89%,-2.63%,-6.64%,11.03%,-2.61%,-4.56%,-7.29%,-20.18%,15.85%,39.05,25.9,-0.77%,3104
127,VSTO,Vista Outdoor Inc.,Consumer Goods,Sporting Goods,USA,,,99.60%,2.90%,-1.75%,-28.01%,-48.56%,-58.62%,-13.41%,-32.27%,-48.46%,-61.57%,5.07%,27.32,20.72,2.63%,1417001
128,UFS,Domtar Corporation,Consumer Goods,Paper & Paper Products,Canada,18.98,4.29%,98.10%,0.56%,-3.87%,-9.70%,-1.43%,18.61%,-7.01%,-4.47%,3.40%,-13.12%,23.08%,33.49,38.73,-1.55%,583871
129,TPX,"Tempur Sealy International, Inc.",Consumer Goods,Home Furnishings & Fixtures,USA,13.4,,96.00%,0.17%,-4.15%,-30.78%,-27.55%,-20.69%,-2.70%,-22.04%,-26.49%,-44.18%,11.77%,34.31,45.95,-1.56%,1139040
130,TG,Tredegar Corporation,Consumer Goods,Rubber & Plastics,USA,37.26,2.30%,66.30%,1.71%,-15.08%,-18.51%,-12.95%,59.89%,-15.08%,-17.79%,-1.12%,-24.85%,66.96%,25.31,19.15,-1.29%,56735
131,TVPT,Travelport Worldwide Limited,Consumer Goods,"Recreational Goods, Other",United Kingdom,58.03,2.32%,93.20%,-4.84%,-8.87%,-10.57%,-4.48%,2.17%,-7.81%,-8.21%,-5.18%,-14.13%,15.96%,27.23,12.94,-0.23%,1635116
132,UAA,"Under Armour, Inc.",Consumer Goods,Textile - Apparel Clothing,USA,49.12,,77.30%,-4.86%,0.79%,-25.56%,-29.26%,-47.48%,-3.23%,-19.32%,-37.46%,-54.52%,6.70%,32.86,21.81,0.65%,3919567
133,UFCS,"United Fire Group, Inc",Financial,Property & Casualty Insurance,USA,15.59,2.36%,62.20%,0.29%,-0.49%,-11.10%,-7.66%,4.40%,-7.00%,-10.55%,-2.14%,-16.39%,13.64%,34.36,42.43,-0.49%,60549
134,THFF,First Financial Corporation,Financial,Regional - Midwest Banks,USA,14.96,2.15%,56.20%,-0.19%,-1.80%,-7.28%,3.76%,42.04%,-2.17%,-6.01%,11.17%,-12.26%,49.63%,37.72,46.5,-1.06%,30985
135,WETF,"WisdomTree Investments, Inc.",Financial,Asset Management,USA,47.38,3.54%,90.60%,0.69%,2.84%,-16.44%,-14.38%,-22.05%,-2.82%,-14.88%,-13.31%,-34.04%,13.13%,39.43,9.05,-1.42%,1720973
136,WPG,Washington Prime Group Inc.,Financial,Property Management,USA,,10.78%,94.30%,-1.58%,-1.28%,-5.98%,-7.60%,16.78%,-2.67%,-6.82%,-14.40%,-31.57%,27.44%,38.59,9.28,-1.17%,2448698
137,AHP,"Ashford Hospitality Prime, Inc.",Financial,REIT - Hotel/Motel,USA,62.23,3.66%,94.40%,16.28%,-0.53%,-9.51%,1.39%,25.05%,-2.76%,-4.93%,-5.13%,-25.57%,35.92%,39.73,13.13,-2.52%,107025
138,AHT,"Ashford Hospitality Trust, Inc.",Financial,REIT - Hotel/Motel,USA,,7.49%,76.70%,2.09%,-16.54%,-19.27%,-2.83%,21.94%,-17.02%,-16.53%,2.05%,-22.11%,42.09%,21.27,6.41,-13.03%,3020751
139,AFH,"Atlas Financial Holdings, Inc.",Financial,Property & Casualty Insurance,USA,8.53,,78.70%,6.17%,-20.29%,-20.53%,-22.79%,-22.84%,-19.60%,-20.84%,-20.52%,-27.42%,-1.09%,11.45,13.55,-4.24%,159248
140,CBL,"CBL & Associates Properties, Inc.",Financial,REIT - Retail,USA,13.31,10.63%,98.10%,-2.17%,-4.13%,-5.77%,-13.92%,-1.33%,-5.16%,-8.66%,-9.03%,-27.08%,19.59%,34.91,9.97,-3.86%,3997895
141,CASH,"Meta Financial Group, Inc.",Financial,Savings & Loans,USA,24.49,0.60%,71.80%,6.17%,3.63%,-15.57%,-7.25%,110.37%,-4.82%,-11.25%,21.76%,-18.57%,121.50%,39.2,87.05,-2.95%,91552
142,CDR,"Cedar Realty Trust, Inc.",Financial,REIT - Retail,USA,,3.47%,97.20%,-1.52%,-4.64%,-6.32%,-13.18%,-16.52%,-5.14%,-7.41%,-15.38%,-27.06%,-1.39%,34.36,5.76,-3.68%,878974
143,CHSP,Chesapeake Lodging Trust,Financial,REIT - Hotel/Motel,USA,20.92,6.53%,97.00%,-0.27%,-4.18%,-6.16%,6.92%,1.62%,-4.18%,-4.51%,3.27%,-8.92%,19.66%,34.67,24.52,0.37%,613494
144,EZPW,"EZCORP, Inc.",Financial,Credit Services,USA,168.87,,91.80%,1.87%,-1.10%,-10.95%,-22.84%,221.94%,-4.86%,-10.35%,-5.41%,-25.42%,233.96%,34.72,8.95,-0.56%,182399
145,FCH,FelCor Lodging Trust Incorporated,Financial,REIT - Hotel/Motel,USA,,3.39%,80.30%,-4.34%,-4.19%,-10.72%,0.05%,-4.26%,-7.62%,-9.39%,3.60%,-22.45%,27.94%,37.88,7.08,-6.23%,6221481
146,FSAM,Fifth Street Asset Management Inc.,Financial,Asset Management,USA,,9.35%,71.50%,13.11%,0.94%,-29.14%,-12.27%,88.79%,-18.38%,-20.94%,2.45%,-36.69%,105.71%,29.2,5.35,-0.93%,37458
147,HIFR,"InfraREIT, Inc.",Financial,REIT - Industrial,USA,14.66,6.11%,97.10%,2.55%,-2.33%,-3.93%,-4.63%,-17.52%,-2.00%,-4.32%,-3.79%,-19.95%,27.57%,40,16.38,-0.73%,146965
148,SLF,Sun Life Financial Inc.,Financial,Property & Casualty Insurance,Canada,11.92,3.49%,54.40%,3.37%,-3.64%,-7.75%,-5.86%,28.22%,-5.17%,-5.55%,6.12%,-9.29%,36.96%,33.86,36.8,-1.00%,630273
149,SIFI,"SI Financial Group, Inc.",Financial,Savings & Loans,USA,15.53,1.35%,66.50%,-1.87%,-1.00%,-0.67%,5.71%,3.86%,-0.77%,-1.93%,6.83%,-8.78%,20.33%,37.1,14.8,-1.00%,13269
150,TBBK,"The Bancorp, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,,,74.20%,10.99%,-3.18%,-29.04%,-30.38%,13.10%,-5.71%,-22.64%,-19.01%,-36.83%,22.46%,34.2,5.18,-0.77%,255234
151,TFSL,TFS Financial Corp,Financial,Regional - Midwest Banks,USA,59.41,2.91%,91.90%,-0.27%,-1.66%,-6.48%,-8.67%,1.36%,-1.30%,-6.32%,-5.10%,-13.68%,5.02%,34.01,17.17,-0.46%,209054
152,RLI,RLI Corp.,Financial,Property & Casualty Insurance,USA,22.75,1.36%,83.60%,2.99%,-1.74%,-1.98%,-3.53%,-4.49%,-1.41%,-2.79%,-6.23%,-14.69%,12.33%,39.76,58.88,-0.73%,151088
153,RM,Regional Management Corp.,Financial,Credit Services,USA,10.76,,93.70%,1.19%,0.00%,-14.81%,-12.20%,49.79%,-7.34%,-13.23%,2.35%,-21.95%,64.07%,32.24,21.51,-1.87%,70826
154,RILY,"B. Riley Financial, Inc.",Financial,Asset Management,USA,38.26,1.84%,50.70%,0.61%,-8.93%,-24.04%,-5.28%,71.05%,-10.30%,-13.89%,21.60%,-25.82%,89.17%,30.44,15.8,1.61%,11690
155,PHH,PHH Corporation,Financial,Credit Services,USA,,,96.40%,-3.70%,3.09%,-12.45%,-11.84%,43.37%,-10.06%,-12.24%,-12.32%,-24.64%,53.27%,32.24,12.66,0.08%,654614
156,PEI,Pennsylvania Real Estate Investment Trust,Financial,REIT - Retail,USA,,5.12%,77.30%,6.75%,-4.92%,-8.11%,-14.43%,-12.49%,-6.42%,-10.52%,-21.32%,-34.78%,-1.85%,32.52,16.42,-5.03%,1814209
157,MHLD,"Maiden Holdings, Ltd.",Financial,Property & Casualty Insurance,Bermuda,12.38,3.64%,71.80%,-1.13%,-2.94%,-7.82%,-0.60%,31.58%,-6.77%,-6.79%,12.63%,-12.93%,48.11%,32.75,16.5,0.00%,401949
158,MFC,Manulife Financial Corporation,Financial,Life Insurance,Canada,16.82,3.43%,53.70%,-1.46%,-3.67%,-5.45%,4.80%,45.99%,-3.29%,-1.52%,19.37%,-5.99%,56.25%,39.24,18.2,-1.94%,3859294
159,MN,"Manning & Napier, Inc.",Financial,Asset Management,USA,9.61,9.92%,75.60%,1.52%,0.00%,-14.00%,-12.80%,-0.34%,-4.20%,-10.65%,-15.17%,-34.03%,9.72%,33.48,6.45,-0.77%,76110
160,OKSB,"Southwest Bancorp, Inc.",Financial,Regional - Southwest  Banks,USA,29.4,1.18%,81.80%,2.41%,-3.05%,-5.15%,18.72%,80.66%,-2.55%,-3.21%,29.30%,-8.66%,91.08%,37.9,27.05,-1.28%,103501
161,OPB,Opus Bank,Financial,Money Center Banks,USA,64.24,3.77%,93.10%,-1.13%,-3.20%,-22.34%,-14.00%,-33.07%,-3.06%,-18.72%,-30.35%,-44.14%,16.45%,28.55,21.2,-2.08%,214746
162,LC,LendingClub Corporation,Financial,Credit Services,USA,,,87.80%,3.99%,-5.71%,-10.66%,-8.56%,-35.50%,-11.46%,-5.32%,3.16%,-44.39%,58.43%,36.81,5.45,-1.98%,6939000
163,HT,Hersha Hospitality Trust,Financial,REIT - Hotel/Motel,USA,8.54,5.62%,99.40%,-3.07%,-5.10%,-5.14%,3.06%,4.64%,-4.30%,-4.23%,6.58%,-8.03%,37.21%,38.36,19.93,-4.69%,690442
164,JOE,The St. Joe Company,Financial,Real Estate Development,USA,116.43,,94.80%,0.38%,-3.20%,-0.89%,-18.38%,8.19%,-1.87%,-8.02%,-8.82%,-23.97%,11.52%,35.34,16.65,-0.89%,151321
165,KIN,"Kindred Biosciences, Inc.",Healthcare,Biotechnology,USA,,,62.00%,-3.87%,-15.32%,-17.97%,25.00%,34.96%,-16.00%,-8.32%,12.40%,-26.06%,68.27%,29.64,5.25,-0.94%,27004
166,NTLA,Intellia Therapeutics Inc.,Healthcare,Biotechnology,USA,,,51.20%,28.75%,-8.85%,-2.70%,-27.94%,,-6.06%,-10.84%,-32.91%,-59.70%,13.11%,39.93,12.25,-3.31%,168391
167,NATR,"Nature's Sunshine Products, Inc.",Healthcare,Drugs - Generic,USA,17.38,3.52%,75.10%,1.13%,-4.22%,-12.69%,-25.33%,42.59%,-6.81%,-14.40%,-11.72%,-31.00%,49.90%,32.85,11.35,0.44%,2722
168,MOH,"Molina Healthcare, Inc.",Healthcare,Health Care Plans,USA,364.4,,98.30%,-0.69%,-0.71%,-14.23%,-6.10%,-22.94%,-12.53%,-12.78%,-9.82%,-28.05%,9.73%,30.12,48.83,-1.93%,1173210
169,MNTA,"Momenta Pharmaceuticals, Inc.",Healthcare,Drugs - Generic,USA,,,91.20%,4.17%,-18.95%,2.33%,13.65%,66.67%,-13.86%,-5.28%,18.90%,-22.61%,95.93%,36.75,15.4,1.99%,1034637
170,MGLN,"Magellan Health, Inc.",Healthcare,Health Care Plans,USA,25.56,,96.20%,4.50%,-5.23%,-2.30%,5.31%,30.44%,-3.21%,-2.73%,13.67%,-8.83%,50.20%,39.52,74.35,-7.18%,373339
171,MCRB,"Seres Therapeutics, Inc.",Healthcare,Biotechnology,USA,,,81.60%,0.44%,-5.71%,-9.91%,-16.38%,-62.94%,-5.31%,-8.50%,-44.15%,-74.74%,12.92%,37.9,9.09,-1.09%,91444
172,PFNX,Pfenex Inc.,Healthcare,Biotechnology,USA,23.89,,87.10%,-0.53%,-8.72%,-13.91%,-25.13%,-5.82%,-8.75%,-16.68%,-15.51%,-37.27%,23.08%,32.54,7.12,-3.65%,61687
173,NERV,"Minerva Neurosciences, Inc.",Healthcare,Biotechnology,USA,,,90.50%,1.75%,-13.07%,-15.20%,-36.63%,73.00%,-14.95%,-23.33%,-24.83%,-45.39%,150.72%,25.62,8.65,-1.14%,142176
174,PTGX,"Protagonist Therapeutics, Inc.",Healthcare,Biotechnology,USA,,,93.00%,0.59%,-4.57%,-26.23%,-42.90%,,-14.50%,-24.42%,-23.84%,-45.37%,43.71%,27.56,14.4,3.15%,82543
175,SCLN,"SciClone Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Other,USA,12.88,,74.70%,-4.78%,-1.33%,-9.39%,-6.76%,-2.13%,-2.93%,-5.73%,-11.75%,-35.80%,28.50%,35.85,9.65,-1.03%,91373
176,SGYP,Synergy Pharmaceuticals Inc.,Healthcare,Drug Manufacturers - Other,USA,,,65.30%,16.53%,-9.41%,-1.26%,4.17%,48.38%,-11.10%,-8.26%,11.44%,-23.22%,119.60%,38.15,5.49,0.18%,5207266
177,FOMX,Foamix Pharmaceuticals Ltd.,Healthcare,Biotechnology,Israel,,,66.40%,0.32%,-5.42%,-7.16%,8.11%,68.72%,-5.36%,-8.48%,10.28%,-14.82%,75.18%,34.78,9.6,1.27%,194386
178,CYTK,"Cytokinetics, Incorporated",Healthcare,Biotechnology,USA,,,65.60%,-1.10%,-9.73%,-1.92%,-9.73%,54.31%,-6.93%,-11.01%,-0.58%,-24.16%,70.00%,36.47,10.2,0.49%,192016
179,CRVS,"Corvus Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,,,83.50%,7.60%,0.68%,-3.47%,-10.70%,,-2.97%,-6.97%,-6.88%,-24.87%,38.63%,37.5,13.35,0.98%,28378
180,ENTA,"Enanta Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,,,72.20%,0.89%,-4.48%,-17.70%,-13.94%,-1.91%,-10.47%,-14.82%,3.94%,-25.71%,33.33%,22.44,27.72,-0.89%,154188
181,ENTL,"Entellus Medical, Inc.",Healthcare,Medical Instruments & Supplies,USA,,,78.10%,2.46%,-19.59%,-29.50%,-27.05%,-14.83%,-17.23%,-24.44%,-26.15%,-39.59%,9.36%,28.01,13.67,9.27%,470392
182,CDTX,"Cidara Therapeutics, Inc.",Healthcare,Biotechnology,USA,,,80.40%,19.74%,-34.06%,-22.96%,-30.09%,-26.13%,-23.47%,-25.08%,-29.92%,-52.55%,13.53%,31.41,7.55,5.59%,169036
183,CHRS,"Coherus Biosciences, Inc.",Healthcare,Biotechnology,USA,,,76.90%,5.15%,-5.43%,-21.62%,-21.62%,57.38%,-12.47%,-17.74%,-14.27%,-31.99%,66.03%,24.29,21.75,0.46%,242314
184,CFMS,"ConforMIS, Inc.",Healthcare,Medical Instruments & Supplies,USA,,,57.30%,3.86%,-9.11%,-37.11%,-39.71%,-41.60%,-29.82%,-33.96%,-33.91%,-61.03%,12.29%,23.13,5.39,4.05%,458156
185,CCXI,"ChemoCentryx, Inc.",Healthcare,Biotechnology,USA,,,50.70%,3.03%,-8.35%,-15.18%,-22.72%,88.55%,-9.45%,-16.84%,4.94%,-31.21%,226.04%,34.36,6.26,-1.11%,163808
186,BLCM,"Bellicum Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,,,73.50%,5.72%,-10.88%,-5.79%,-42.47%,31.15%,-6.90%,-11.57%,-22.93%,-47.90%,66.30%,39,12.04,-0.66%,620080
187,ALKS,Alkermes plc,Healthcare,Drug Delivery,Ireland,,,98.90%,0.94%,-4.63%,-4.81%,-9.19%,55.96%,-3.12%,-4.94%,6.09%,-12.78%,95.21%,39.7,52.98,0.78%,548143
188,AMRI,"Albany Molecular Research, Inc.",Healthcare,Biotechnology,USA,,,73.50%,1.36%,-18.48%,-15.73%,-11.20%,4.89%,-15.82%,-16.50%,-4.57%,-21.34%,22.25%,19.66,15.22,0.00%,497941
189,ANIP,"ANI Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,87,,57.90%,3.85%,-9.89%,1.06%,3.96%,75.49%,-4.54%,-2.80%,-1.30%,-16.71%,95.92%,39.24,59.07,-0.77%,149320
190,BCRX,"BioCryst Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,,,80.30%,3.02%,-16.57%,-15.28%,-6.95%,177.27%,-8.76%,-11.26%,19.29%,-27.38%,215.52%,38.86,5.49,-1.96%,1367156
191,XENE,Xenon Pharmaceuticals Inc.,Healthcare,Biotechnology,Canada,,,71.00%,7.73%,-4.91%,-6.63%,-1.90%,6.02%,-5.13%,-4.68%,0.56%,-11.43%,37.17%,37.33,7.75,-2.52%,33064
192,XNCR,"Xencor, Inc.",Healthcare,Biotechnology,USA,23.58,,76.10%,19.19%,-4.12%,0.35%,-13.24%,106.52%,-3.58%,-7.06%,7.48%,-22.40%,119.02%,38.79,22.8,-0.22%,119078
193,UTHR,United Therapeutics Corporation,Healthcare,Drug Manufacturers - Other,USA,9.89,,94.00%,-3.18%,-12.89%,-6.73%,13.64%,17.53%,-9.80%,-4.01%,15.17%,-13.64%,50.44%,33.28,146.71,-0.50%,414114
194,VIVO,"Meridian Bioscience, Inc.",Healthcare,Diagnostic Substances,USA,18.15,3.95%,90.10%,-0.96%,-0.78%,-0.20%,-25.94%,-35.62%,-0.25%,-17.69%,-28.06%,-38.58%,18.83%,35.42,12.65,-1.94%,358892
195,VMC,Vulcan Materials Company,Industrial Goods,General Building Materials,USA,37.8,0.85%,88.80%,-2.16%,-1.94%,-12.73%,-7.76%,21.10%,-5.30%,-5.92%,-1.41%,-14.42%,27.26%,37.12,117.82,1.26%,1791103
196,USCR,"U.S. Concrete, Inc.",Industrial Goods,General Building Materials,USA,20.33,,96.70%,10.43%,-4.31%,-12.98%,2.56%,8.50%,-6.85%,-6.43%,2.61%,-14.77%,40.12%,36.71,60,2.48%,517510
197,UFPI,"Universal Forest Products, Inc.",Industrial Goods,"Lumber, Wood Production",USA,19.61,0.94%,83.90%,-0.25%,-10.14%,-10.12%,-5.95%,26.22%,-7.41%,-7.51%,-2.54%,-13.56%,34.90%,35.93,95.5,-0.61%,179810
198,TXT,Textron Inc.,Industrial Goods,Aerospace/Defense - Major Diversified,USA,15.24,0.17%,83.30%,1.90%,-3.75%,0.94%,4.38%,36.96%,-2.22%,-3.16%,12.01%,-7.38%,47.43%,38.41,47.17,-0.08%,3687136
199,ASTE,"Astec Industries, Inc.",Industrial Goods,Farm & Construction Machinery,USA,31.83,0.63%,83.20%,2.13%,-11.38%,-9.83%,-0.62%,60.29%,-9.53%,-6.89%,5.31%,-13.07%,68.04%,28.48,63.78,0.19%,225570
200,BGC,General Cable Corporation,Industrial Goods,Industrial Equipment & Components,USA,,4.40%,82.70%,-0.62%,0.31%,-20.24%,-14.28%,113.07%,-9.74%,-13.54%,3.76%,-21.39%,127.39%,35.2,16.35,0.62%,656117
201,CCC,Calgon Carbon Corporation,Industrial Goods,Pollution & Treatment Controls,USA,27.43,1.36%,94.20%,0.97%,-10.64%,-10.91%,-19.22%,8.25%,-8.53%,-11.97%,-4.59%,-21.81%,16.48%,29.3,14.7,-7.55%,328885
202,BZH,"Beazer Homes USA, Inc.",Industrial Goods,Residential Construction,USA,146.39,,84.40%,-2.32%,-5.89%,-14.62%,-9.06%,63.09%,-10.25%,-10.54%,10.73%,-23.10%,80.80%,30.65,12.15,-0.25%,492436
203,CECE,CECO Environmental Corp.,Industrial Goods,Pollution & Treatment Controls,USA,39.31,2.29%,64.10%,11.53%,1.79%,-13.87%,-13.41%,87.52%,-7.73%,-14.53%,4.39%,-23.30%,106.70%,33.23,11.36,-0.70%,141006
204,EME,"EMCOR Group, Inc.",Industrial Goods,General Contractors,USA,19.78,0.52%,97.60%,-2.17%,-11.82%,-12.61%,-12.01%,35.37%,-10.37%,-11.26%,4.26%,-15.56%,41.07%,25.29,61.94,0.50%,996603
205,ENS,EnerSys,Industrial Goods,Industrial Electrical Equipment,USA,24.6,0.92%,97.80%,-2.50%,-3.69%,-6.51%,-3.64%,53.17%,-3.18%,-3.63%,9.08%,-9.03%,63.20%,38.26,75.98,-1.00%,232453
206,CVU,"CPI Aerostructures, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,,,74.30%,-7.79%,-4.32%,-6.06%,12.32%,-10.09%,-8.26%,-9.76%,8.96%,-23.65%,78.16%,25.44,7.75,-4.32%,49054
207,HNH,Handy & Harman Ltd.,Industrial Goods,Industrial Equipment & Components,USA,25.88,,87.50%,0.43%,-12.79%,-20.66%,-1.93%,29.32%,-14.17%,-14.24%,-7.40%,-23.55%,33.70%,27.85,22.85,1.33%,9919
208,HDSN,Hudson Technologies Inc.,Industrial Goods,Diversified Machinery,USA,21.57,,70.70%,34.54%,-8.67%,-6.53%,-9.71%,129.49%,-4.58%,-5.71%,21.05%,-15.76%,140.27%,38.79,7.16,-2.32%,367315
209,HAYN,"Haynes International, Inc.",Industrial Goods,Metal Fabrication,USA,119.04,2.22%,99.20%,-0.31%,-4.87%,-6.73%,-10.55%,35.45%,-4.49%,-7.08%,6.38%,-18.05%,58.10%,37.96,39.64,0.79%,52783
210,TEX,Terex Corporation,Industrial Goods,Farm & Construction Machinery,USA,24.5,0.92%,89.80%,2.59%,-5.16%,-7.50%,3.44%,41.40%,-4.96%,-4.73%,16.86%,-10.39%,61.44%,39.31,30.35,1.47%,1589272
211,TATT,"TAT Technologies, Ltd.",Industrial Goods,Aerospace/Defense Products & Services,Israel,46.97,17.16%,61.30%,0.09%,-3.73%,-11.12%,6.16%,19.99%,-9.41%,-10.06%,1.59%,-16.22%,21.98%,25.24,7.75,-2.64%,5256
212,PGTI,"PGT Innovations, Inc.",Industrial Goods,General Building Materials,USA,22.57,,87.90%,-1.39%,-9.91%,-12.55%,-7.93%,11.05%,-9.56%,-9.00%,-5.82%,-16.33%,20.32%,31.78,10.45,1.46%,407945
213,POWL,"Powell Industries, Inc.",Industrial Goods,Diversified Machinery,USA,24.6,3.09%,66.20%,-1.59%,-0.33%,-15.17%,-22.21%,34.40%,-7.07%,-11.36%,-10.60%,-28.17%,37.33%,30.84,33.68,0.33%,21232
214,MNTX,"Manitex International, Inc.",Industrial Goods,Diversified Machinery,USA,,,54.20%,4.03%,-7.72%,-13.95%,36.61%,57.08%,-7.69%,0.36%,17.55%,-22.65%,66.30%,39.49,7.65,-0.26%,48287
215,MLM,"Martin Marietta Materials, Inc.",Industrial Goods,General Building Materials,USA,33.15,0.80%,99.30%,-1.37%,-5.18%,-13.20%,-4.89%,47.71%,-7.51%,-6.87%,4.71%,-13.91%,55.93%,32.2,210.05,0.66%,985171
216,MWA,"Mueller Water Products, Inc.",Industrial Goods,Industrial Equipment & Components,USA,32.51,1.04%,95.50%,-0.08%,-0.95%,-7.50%,-6.81%,49.87%,-3.68%,-4.89%,2.89%,-11.34%,53.13%,39.7,12.55,-0.08%,1911332
217,LAYN,Layne Christensen Company,Industrial Goods,Heavy Construction,USA,,,88.20%,-0.95%,-2.05%,-13.59%,-10.92%,56.14%,-5.76%,-9.43%,4.07%,-16.46%,68.55%,33.12,9.54,-1.14%,36410
218,HW,Headwaters Incorporated,Industrial Goods,General Building Materials,USA,41.51,,89.00%,-3.67%,-0.17%,-1.12%,-2.04%,30.83%,-0.37%,-1.21%,16.07%,-3.96%,43.55%,37.46,23.04,-0.30%,496069
219,HZN,Horizon Global Corporation,Services,Industrial Equipment Wholesale,USA,41.01,,66.20%,2.92%,-4.91%,-3.45%,-23.26%,102.33%,-5.05%,-15.70%,1.97%,-30.93%,114.24%,28.25,18.21,-0.87%,233288
