No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Performance (Week),Performance (Month),Performance (Quarter),Performance (Year),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Price,Change,Volume
119,FFIN,"First Financial Bankshares, Inc.",Financial,Regional - Southwest  Banks,USA,2765.28,31.46,-3.78%,-4.87%,16.20%,62.83%,-6.40%,-3.69%,16.35%,-9.70%,77.62%,33.35,42,-4.22%,218400
120,RNST,Renasant Corporation,Financial,Money Center Banks,USA,1697.74,18.16,-4.32%,-6.44%,18.39%,27.91%,-7.15%,-3.86%,11.02%,-12.82%,34.07%,32.65,38.77,-3.96%,241300
121,TROW,"T. Rowe Price Group, Inc.",Financial,Asset Management,USA,17746.77,16.46,0.30%,-3.51%,11.64%,15.89%,-3.48%,-0.58%,3.04%,-6.81%,18.40%,39.9,73.05,-0.86%,1758400
122,TRST,TrustCo Bank Corp NY,Financial,Regional - Northeast Banks,USA,784.99,18.75,-2.94%,-2.37%,17.96%,60.27%,-4.90%,-0.14%,18.15%,-8.33%,65.85%,39.99,8.25,-3.51%,241200
123,TRUP,"Trupanion, Inc.",Financial,Accident & Health Insurance,USA,402.42,,-11.51%,-12.52%,-15.80%,70.47%,-10.50%,-12.52%,-6.19%,-21.32%,82.79%,27.35,13.91,-2.39%,177083
124,WABC,Westamerica Bancorporation,Financial,Regional - Pacific Banks,USA,1496.43,25.38,-4.47%,-7.04%,20.45%,45.52%,-6.80%,-3.51%,14.28%,-10.47%,49.37%,30.55,58.5,-3.89%,93400
125,WASH,"Washington Trust Bancorp, Inc.",Financial,Regional - Northeast Banks,USA,870.35,19.69,-3.29%,-7.35%,28.31%,48.95%,-6.86%,-2.50%,22.40%,-10.47%,53.40%,34.96,51.5,-3.10%,48500
126,PHH,PHH Corporation,Financial,Credit Services,USA,758.98,,-4.84%,-3.41%,-4.32%,9.68%,-4.12%,-4.02%,-0.05%,-15.71%,71.43%,35.62,14.16,-2.61%,455400
127,HTH,Hilltop Holdings Inc.,Financial,Mortgage Investment,USA,2781.48,20.62,-4.92%,-5.68%,18.72%,78.59%,-7.38%,-3.30%,18.62%,-10.39%,92.47%,34.72,27.42,-2.83%,621400
128,EZPW,"EZCORP, Inc.",Financial,Credit Services,USA,519.17,,-7.25%,-8.57%,-11.93%,182.35%,-8.90%,-11.03%,9.62%,-20.00%,293.44%,31.94,9.6,-2.04%,366900
129,UBNK,"United Financial Bancorp, Inc.",Financial,Savings & Loans,USA,857.38,18.95,-3.88%,-4.36%,26.09%,55.91%,-5.59%,-0.50%,20.66%,-8.31%,72.74%,37.23,17.11,-3.39%,71400
130,UBSH,Union Bankshares Corporation,Financial,Regional - Mid-Atlantic Banks,USA,1447.15,19.93,-3.36%,-4.65%,25.76%,45.44%,-5.62%,-0.86%,19.52%,-8.42%,66.92%,37.42,33.6,-3.53%,94200
131,UBSI,"United Bankshares, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,3499.42,22.25,-2.68%,-8.59%,18.16%,34.78%,-5.25%,-3.17%,11.21%,-11.55%,40.05%,36.35,43.65,-3.22%,452800
132,UCFC,United Community Financial Corp.,Financial,Savings & Loans,USA,385.38,21.32,-5.41%,-10.27%,15.15%,47.40%,-8.89%,-4.13%,17.95%,-13.58%,55.49%,33.32,8.21,-2.26%,62419
133,GRF,"Eagle Capital Growth Fund, Inc.",Financial,Asset Management,USA,,12.22,-4.05%,-5.46%,-9.43%,2.88%,-4.96%,-7.70%,-9.79%,-29.50%,12.19%,38.14,7.1,-1.66%,22700
134,FDEF,First Defiance Financial Corp.,Financial,Savings & Loans,USA,422.98,15.32,-2.74%,-4.64%,7.51%,28.11%,-5.67%,0.53%,10.27%,-9.65%,35.80%,38.7,47.26,-1.54%,24643
135,UVSP,Univest Corporation of Pennsylvania,Financial,Regional - Northeast Banks,USA,733.55,31.17,-5.15%,-9.34%,18.54%,49.09%,-9.08%,-3.10%,20.34%,-12.22%,55.48%,31.41,27.65,-5.47%,151100
136,CPF,Central Pacific Financial Corp.,Financial,Regional - Pacific Banks,USA,901.62,20.34,-3.14%,-3.93%,20.62%,56.86%,-4.80%,-1.37%,16.91%,-7.47%,64.25%,37.69,29.6,-3.80%,68100
137,ANAT,American National Insurance Company,Financial,Property & Casualty Insurance,USA,3278.38,17.88,-0.53%,-3.81%,1.64%,30.66%,-2.32%,-0.68%,4.43%,-7.49%,37.72%,39.51,122.1,-0.90%,13800
138,KRNY,Kearny Financial Corp.,Financial,Savings & Loans,USA,1257.41,73.1,-4.00%,-6.19%,4.64%,23.50%,-6.42%,-4.94%,5.43%,-10.56%,28.08%,30.78,14.4,-2.70%,409700
139,FCFS,"FirstCash, Inc.",Financial,Credit Services,USA,2083.63,28.35,-7.26%,-6.57%,-6.41%,12.49%,-6.72%,-7.12%,-8.85%,-19.23%,48.24%,32.9,43.4,-1.36%,507600
140,TRMK,Trustmark Corporation,Financial,Regional - Southeast Banks,USA,2242.64,20.95,-3.24%,-5.23%,22.91%,66.28%,-6.25%,-1.53%,20.83%,-9.81%,73.95%,37.08,33.18,-3.15%,305500
141,TRC,Tejon Ranch Co.,Financial,Property Management,USA,492,194.55,0.67%,-9.66%,-0.29%,29.98%,-6.49%,-6.13%,-0.14%,-14.51%,42.02%,36.65,23.93,-1.81%,58700
142,SNBC,"Sun Bancorp, Inc.",Financial,Regional - Northeast Banks,USA,466.79,68.18,-0.60%,-4.62%,7.98%,24.17%,-4.21%,-0.36%,9.45%,-7.65%,26.90%,39.87,24.75,-1.59%,34300
143,TOWN,TowneBank,Financial,Regional - Mid-Atlantic Banks,USA,1943.07,28.53,-3.54%,-5.77%,29.19%,60.82%,-5.17%,-0.05%,28.06%,-8.91%,94.25%,39.52,31.35,-3.83%,262900
144,TPRE,Third Point Reinsurance Ltd.,Financial,Property & Casualty Insurance,Bermuda,1186.3,10.14,-1.75%,-6.67%,-9.16%,-1.50%,-4.80%,-6.06%,-6.14%,-14.04%,11.11%,35.21,11.2,-1.75%,327700
145,RLI,RLI Corp.,Financial,Property & Casualty Insurance,USA,2557.04,22.26,-1.25%,-5.41%,-11.55%,0.42%,-5.30%,-3.03%,-7.36%,-15.36%,11.45%,36.05,58.42,-1.95%,172600
146,RM,Regional Management Corp.,Financial,Credit Services,USA,273.02,11.8,-8.63%,-8.73%,11.47%,80.52%,-9.57%,-5.30%,17.74%,-13.93%,101.53%,29.42,23.72,-4.01%,66400
147,SMMF,"Summit Financial Group, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,275.13,16.61,-4.16%,-7.56%,33.30%,132.96%,-5.72%,0.48%,26.90%,-13.84%,136.94%,35.61,25.81,-3.33%,12500
148,MAYS,"J.W. Mays, Inc.",Financial,Property Management,USA,86.84,53.32,-1.76%,-7.43%,-13.47%,-24.09%,-3.37%,-6.45%,-13.68%,-27.86%,0.00%,30.27,41.75,0.00%,2100
149,MBFI,"MB Financial, Inc.",Financial,Regional - Midwest Banks,USA,3703.79,20.54,-4.23%,-3.71%,19.68%,56.18%,-5.68%,0.70%,16.41%,-8.38%,61.87%,38.54,44.41,-3.46%,366800
150,PFS,"Provident Financial Services, Inc.",Financial,Savings & Loans,USA,1758.5,19.66,-2.93%,-4.08%,27.75%,54.53%,-5.02%,-0.72%,22.61%,-7.37%,56.01%,38.08,26.79,-3.29%,250600
151,PFSI,"PennyMac Financial Services, Inc.",Financial,Mortgage Investment,USA,358.08,17.68,-2.45%,-14.25%,-1.79%,28.11%,-3.79%,-7.12%,5.55%,-17.57%,52.19%,38.39,15.95,-0.93%,166500
152,AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,USA,7753.83,16.43,-1.42%,-8.67%,-0.67%,10.29%,-3.07%,-3.16%,-6.04%,-21.38%,21.92%,39.74,141.39,-1.49%,937600
153,BNCL,"Beneficial Bancorp, Inc.",Financial,Regional - Northeast Banks,USA,1313.81,57.4,-3.32%,-3.86%,20.09%,37.07%,-4.81%,0.17%,18.06%,-8.16%,43.08%,39.23,17.45,-3.32%,222900
154,NWBI,"Northwest Bancshares, Inc.",Financial,Savings & Loans,USA,1756.77,42.2,-2.52%,-5.53%,13.97%,48.04%,-3.94%,-2.55%,13.17%,-8.74%,53.92%,35.72,17.43,-2.35%,427100
155,CSBK,Clifton Bancorp Inc.,Financial,Savings & Loans,USA,361.18,82.76,-4.45%,-6.53%,6.61%,18.79%,-5.28%,-3.88%,3.84%,-9.15%,23.33%,33.01,15.89,-3.52%,38300
156,JXSB,"Jacksonville Bancorp, Inc.",Financial,Savings & Loans,USA,52.56,17.08,-2.67%,-0.38%,-2.63%,17.15%,-2.12%,-1.25%,3.33%,-4.26%,27.25%,36.46,29.2,-2.67%,32
157,BRK-A,Berkshire Hathaway Inc.,Financial,Property & Casualty Insurance,USA,392232.24,16.9,-1.62%,-3.22%,10.54%,25.88%,-2.69%,-0.21%,7.49%,-4.63%,27.96%,36.42,239166,-1.37%,600
158,BRK-B,Berkshire Hathaway Inc.,Financial,Property & Casualty Insurance,USA,393827.09,16.06,-1.47%,-3.28%,10.72%,26.56%,-2.60%,-0.14%,7.60%,-4.55%,29.21%,37.04,159.64,-1.40%,4659700
159,HNNA,"Hennessy Advisors, Inc.",Financial,Asset Management,USA,159.21,10.92,-2.87%,-1.68%,-5.89%,13.59%,-3.27%,-3.41%,-7.73%,-22.78%,25.31%,37.47,30.5,0.26%,7709
160,HMST,"HomeStreet, Inc.",Financial,Savings & Loans,USA,759.29,10.89,-6.05%,-12.88%,17.30%,49.58%,-9.15%,-5.66%,16.78%,-14.69%,54.74%,36.72,28.75,-1.20%,623000
161,HOMB,"Home Bancshares, Inc. (Conway, AR)",Financial,Money Center Banks,USA,3635.06,22.21,-3.43%,-4.86%,31.07%,44.37%,-5.35%,-0.61%,17.23%,-8.42%,57.24%,39.45,26.21,-4.06%,483100
162,NFBK,"Northfield Bancorp, Inc. (Staten Island, NY)",Financial,Regional - Northeast Banks,USA,895.58,35.22,-5.20%,-9.08%,15.19%,25.69%,-7.18%,-3.08%,12.47%,-10.54%,30.22%,30.05,18.42,-3.00%,110600
163,PFBI,"Premier Financial Bancorp, Inc.",Financial,Regional - Southeast Banks,USA,200.83,16.44,-4.85%,-4.80%,11.55%,20.31%,-6.32%,-2.61%,8.19%,-11.30%,30.38%,36.7,18.84,-1.93%,14264
164,BWFG,"Bankwell Financial Group, Inc.",Financial,Regional - Northeast Banks,USA,223.24,19.01,-8.62%,-8.19%,20.82%,50.31%,-9.12%,-1.44%,21.30%,-16.58%,57.87%,33.52,29.03,-2.58%,9400
165,ACNB,ACNB Corporation,Financial,Regional - Southwest  Banks,USA,177,16.02,-4.83%,-8.09%,15.14%,44.44%,-6.14%,-3.51%,12.96%,-9.77%,47.59%,35.98,29.55,-3.11%,7900
166,AROW,Arrow Financial Corporation,Financial,Regional - Northeast Banks,USA,498.38,18.99,-2.34%,-5.66%,17.98%,51.77%,-6.33%,-2.07%,16.89%,-10.07%,57.83%,37.79,37.5,-3.35%,17800
167,COLB,"Columbia Banking System, Inc.",Financial,Savings & Loans,USA,2334,23.44,-5.82%,-6.08%,28.54%,46.31%,-7.20%,-0.57%,24.61%,-10.70%,59.72%,36.82,40.79,-3.25%,495400
168,GBCI,"Glacier Bancorp, Inc.",Financial,Regional - Pacific Banks,USA,2584.67,21.58,-3.12%,-7.93%,22.94%,49.43%,-5.55%,-0.81%,18.83%,-9.78%,60.55%,37.86,33.88,-3.42%,282200
169,PJC,Piper Jaffray Companies,Financial,Investment Brokerage - Regional,USA,1033.84,36.06,-5.54%,-7.09%,34.92%,100.91%,-7.35%,-2.50%,34.56%,-12.40%,115.26%,35.92,68.15,-1.66%,139400
170,ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,1456.16,20.97,-2.80%,-8.05%,16.80%,41.67%,-5.42%,-3.54%,18.94%,-12.38%,68.52%,38.12,41.7,-3.58%,133100
171,APAM,Artisan Partners Asset Management Inc.,Financial,Asset Management,USA,2061.64,17.4,-4.27%,-8.65%,3.71%,4.76%,-5.80%,-3.57%,-0.82%,-14.74%,26.17%,37.15,28,-2.95%,505400
172,CMA,Comerica Incorporated,Financial,Money Center Banks,USA,11178.27,27.19,-6.00%,-3.20%,35.51%,84.83%,-5.33%,1.83%,32.27%,-8.19%,118.60%,39.38,65.37,-6.51%,3746700
173,PRK,Park National Corporation,Financial,Regional - Midwest Banks,USA,1697.99,19.76,-3.76%,-4.48%,18.76%,39.12%,-5.78%,-1.57%,15.54%,-9.09%,47.24%,36.61,111.71,-3.72%,38500
174,PROV,"Provident Financial Holdings, Inc.",Financial,Savings & Loans,USA,153.28,23.83,-3.91%,-6.25%,-4.30%,0.53%,-5.39%,-4.83%,-0.17%,-8.52%,12.97%,20.94,18.9,-1.10%,11520
175,SBSI,"Southside Bancshares, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,1008.98,19.39,-0.93%,-3.47%,11.79%,81.95%,-3.67%,-2.13%,13.46%,-7.18%,91.54%,39.87,36.19,-3.47%,146800
176,WDR,"Waddell & Reed Financial, Inc.",Financial,Asset Management,USA,1547.96,8.14,-4.80%,-6.69%,8.18%,-16.65%,-5.58%,-2.84%,1.45%,-26.00%,25.68%,37.29,18.45,-2.28%,1331900
177,GNBC,"Green Bancorp, Inc.",Financial,Money Center Banks,USA,492.27,,-7.88%,1.89%,18.09%,68.34%,-10.11%,0.92%,30.50%,-14.33%,103.48%,38.24,13.45,-7.56%,195900
178,MN,"Manning & Napier, Inc.",Financial,Asset Management,USA,105.75,10.51,-7.15%,-5.94%,-4.69%,7.40%,-7.96%,-3.17%,-8.73%,-27.89%,36.16%,38.94,7.05,-3.42%,72500
179,EBTC,"Enterprise Bancorp, Inc.",Financial,Savings & Loans,USA,380.41,19.35,-7.98%,-6.77%,18.99%,59.83%,-9.50%,-1.27%,23.39%,-15.06%,66.62%,35.97,33.34,-0.42%,19148
180,FBC,"Flagstar Bancorp, Inc.",Financial,Savings & Loans,USA,1487.03,10.03,-2.10%,-8.27%,-3.62%,24.98%,-2.49%,-5.03%,0.52%,-10.99%,51.13%,34.71,26.07,-0.95%,253400
181,FBNK,"First Connecticut Bancorp, Inc.",Financial,Money Center Banks,USA,323.53,23.62,-5.00%,-5.86%,19.85%,31.83%,-6.09%,-3.00%,16.38%,-16.40%,47.46%,38.33,20.9,-4.13%,39900
182,BWINB,"Baldwin & Lyons, Inc.",Financial,Property & Casualty Insurance,USA,368.39,13.26,-2.21%,-2.41%,-3.00%,8.79%,-3.10%,-4.27%,-2.23%,-12.27%,12.26%,30.46,24.3,-0.82%,17100
183,YRD,Yirendai Ltd.,Financial,Credit Services,China,1281.66,10.56,-2.51%,-19.05%,-24.71%,190.91%,-3.61%,-16.21%,2.68%,-48.61%,549.55%,35.47,21.76,-0.82%,185400
184,SFNC,Simmons First National Corporation,Financial,Money Center Banks,USA,1807.07,19.08,-3.54%,-9.65%,17.91%,26.44%,-5.70%,-2.33%,16.55%,-12.36%,55.69%,36.04,58.5,-3.86%,117400
185,FLIC,The First of Long Island Corporation,Financial,Regional - Northeast Banks,USA,633.68,20.22,0.00%,-3.89%,-15.08%,-1.27%,-3.78%,-12.54%,-11.92%,-32.80%,8.27%,30.72,27.15,-1.45%,134709
186,ONB,Old National Bancorp,Financial,Regional - Midwest Banks,USA,2282.49,15.92,-2.56%,-3.11%,24.41%,49.29%,-4.71%,-0.29%,21.97%,-7.55%,66.75%,39.79,17.15,-3.65%,577100
187,OPB,Opus Bank,Financial,Money Center Banks,USA,873.56,20.13,-6.34%,-5.69%,-20.61%,-13.28%,-7.07%,3.04%,-14.21%,-27.94%,50.23%,39.42,27.35,-4.54%,267200
188,GTS,Triple-S Management Corporation,Financial,Accident & Health Insurance,USA,482.66,25.99,-2.58%,-12.30%,-5.29%,-5.51%,-7.12%,-6.92%,-12.03%,-26.35%,9.56%,36.51,20.4,-3.27%,42300
189,L,Loews Corporation,Financial,Property & Casualty Insurance,USA,15409.23,91.91,-1.32%,-3.28%,11.19%,29.66%,-2.85%,0.45%,9.66%,-4.93%,35.83%,39.05,45.68,-0.91%,791300
190,EFSC,Enterprise Financial Services Corp,Financial,Regional - Southwest  Banks,USA,774.75,17.28,-3.58%,-2.25%,19.38%,49.75%,-6.52%,-0.56%,24.21%,-10.54%,58.19%,38.9,39.05,-3.58%,160000
191,CBL,"CBL & Associates Properties, Inc.",Financial,REIT - Retail,USA,1888.75,50.46,-3.45%,-1.13%,-4.60%,10.66%,-4.02%,-3.55%,-1.16%,-20.28%,30.75%,39.51,10.9,-0.64%,1593600
192,BHB,Bar Harbor Bankshares,Financial,Regional - Northeast Banks,USA,265.47,16.89,-4.32%,-10.12%,20.05%,47.35%,-7.19%,-1.34%,16.98%,-12.01%,47.50%,36.76,43.88,0.43%,20041
193,BHBK,"Blue Hills Bancorp, Inc.",Financial,Money Center Banks,USA,456.7,60.6,-3.38%,-4.99%,15.84%,19.55%,-6.77%,-3.38%,12.34%,-9.74%,30.67%,37.16,17.15,-3.92%,57000
194,BHLB,"Berkshire Hills Bancorp, Inc.",Financial,Savings & Loans,USA,1063.45,16.51,-2.54%,-3.63%,25.34%,33.45%,-5.00%,0.13%,19.87%,-7.74%,42.93%,38.96,34.55,-2.40%,172400
195,CFFN,"Capitol Federal Financial, Inc.",Financial,Savings & Loans,USA,2178.95,25.3,-2.46%,-2.40%,15.78%,43.41%,-3.76%,-1.17%,12.99%,-7.04%,47.94%,37.48,15.84,-2.16%,500900
196,CFNL,Cardinal Financial Corporation,Financial,Regional - Southeast Banks,USA,987,21,-3.27%,-8.87%,19.03%,54.49%,-6.20%,-3.52%,19.46%,-12.20%,76.83%,36.6,30.51,-3.33%,48300
197,FNLC,"The First Bancorp, Inc.",Financial,Regional - Northeast Banks,USA,279.35,16.12,-13.53%,-13.21%,14.63%,46.04%,-15.71%,-10.69%,11.35%,-21.68%,49.74%,25.53,26.01,-3.38%,27155
198,HF,"HFF, Inc.",Financial,Property Management,USA,1095.31,13.34,-0.69%,-4.43%,15.46%,7.16%,-2.97%,-2.53%,0.32%,-15.96%,35.30%,39.8,28.9,-0.07%,182746
199,ORIT,Oritani Financial Corp.,Financial,Regional - Northeast Banks,USA,787.35,14.97,-3.87%,-2.52%,16.50%,21.56%,-4.97%,-0.30%,8.90%,-8.42%,25.05%,38.14,17.4,-1.97%,150300
200,ORM,"Owens Realty Mortgage, Inc.",Financial,REIT - Office,USA,184.63,5.47,-3.32%,-1.33%,5.27%,36.68%,-3.92%,-1.64%,6.33%,-5.90%,38.22%,39.24,18.03,-4.35%,33300
201,TBBK,"The Bancorp, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,375.99,,-2.11%,-8.67%,-0.71%,33.40%,-8.98%,-5.28%,9.27%,-15.24%,79.12%,39.91,6.95,-4.27%,222000
202,YDKN,Yadkin Financial Corporation,Financial,Regional - Mid-Atlantic Banks,USA,1670.35,26.33,-4.51%,-3.72%,23.69%,53.21%,-5.46%,-0.67%,18.98%,-7.93%,64.21%,38.33,32.39,-3.80%,203800
203,CIT,CIT Group Inc.,Financial,Credit Services,USA,8307.13,13.24,-3.72%,-2.52%,14.98%,25.84%,-4.19%,0.08%,15.97%,-5.82%,66.61%,39.59,41.43,-3.70%,2127500
204,CINF,Cincinnati Financial Corporation,Financial,Property & Casualty Insurance,USA,11465.26,17.92,-6.39%,-9.03%,-7.59%,30.00%,-7.34%,-6.38%,-2.99%,-11.83%,33.59%,23.84,69.74,-0.46%,755200
205,AMBC,"Ambac Financial Group, Inc.",Financial,Surety & Title Insurance,USA,990.08,1.78,0.05%,-15.65%,14.19%,65.96%,-3.88%,-5.51%,16.69%,-19.67%,83.64%,39.16,21.89,-1.88%,210400
206,BKU,"BankUnited, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,3650.18,17.45,-3.31%,-4.38%,22.33%,10.08%,-5.08%,-0.27%,9.81%,-7.72%,29.50%,37.79,35.37,-3.18%,850700
207,PEI,Pennsylvania Real Estate Investment Trust,Financial,REIT - Retail,USA,1270.43,,-3.21%,-4.77%,-13.69%,-1.64%,-3.50%,-3.94%,-14.38%,-27.00%,16.51%,37.54,18.38,-0.43%,451300
208,ITIC,Investors Title Company,Financial,Surety & Title Insurance,USA,251.39,15.22,-5.25%,-15.05%,33.54%,59.63%,-14.97%,-4.75%,24.13%,-24.00%,74.53%,36.02,132.31,-4.41%,2000
209,TFSL,TFS Financial Corp,Financial,Regional - Midwest Banks,USA,5186.39,65.59,-2.54%,-4.66%,3.13%,7.34%,-3.45%,-2.00%,1.73%,-7.34%,18.29%,36.37,18.43,-2.38%,178690
210,BK,The Bank of New York Mellon Corporation,Financial,Asset Management,USA,48804.43,15.71,-2.54%,-3.41%,18.15%,32.14%,-2.79%,-1.72%,11.47%,-6.28%,46.13%,37.55,46.43,-2.74%,5229600
211,HHC,The Howard Hughes Corporation,Financial,Real Estate Development,USA,4203,24.48,-2.47%,-6.46%,-1.61%,11.49%,-5.51%,-4.55%,-4.63%,-14.07%,34.30%,34.84,106.54,-1.53%,86700
212,ESPR,"Esperion Therapeutics, Inc.",Healthcare,Biotechnology,USA,257.04,,-19.08%,-8.87%,-7.05%,-18.66%,-13.87%,-6.13%,-15.62%,-44.53%,19.15%,36.33,11.2,-6.67%,335700
213,DERM,"Dermira, Inc.",Healthcare,Biotechnology,USA,982.6,,-10.76%,-6.32%,-12.81%,-1.04%,-7.64%,-9.84%,-7.32%,-21.74%,63.26%,36.4,28.44,-6.42%,495100
214,CHRS,"Coherus Biosciences, Inc.",Healthcare,Biotechnology,USA,1093.93,,-8.86%,-9.35%,-10.57%,55.65%,-9.77%,-9.31%,1.61%,-21.20%,109.30%,29.34,25.2,-7.18%,422500
215,AIMT,"Aimmune Therapeutics, Inc.",Healthcare,Biotechnology,USA,988.18,,-12.89%,-13.28%,18.66%,40.10%,-8.90%,-12.95%,21.02%,-28.74%,99.18%,29.64,19.46,-8.51%,351800
216,BIIB,Biogen Inc.,Healthcare,Biotechnology,USA,62228.24,16,-5.35%,-1.13%,-2.58%,3.54%,-1.96%,-4.38%,-0.92%,-15.18%,26.90%,37.65,283.01,-0.61%,1966100
217,VIVO,"Meridian Bioscience, Inc.",Healthcare,Diagnostic Substances,USA,708.37,22.17,-3.16%,-7.42%,-9.30%,-4.05%,-4.23%,-2.73%,-9.22%,-18.99%,8.27%,36.79,16.85,-1.46%,238900
218,ITCI,"Intra-Cellular Therapies, Inc.",Healthcare,Biotechnology,USA,607.76,,-15.38%,-7.07%,8.90%,-68.75%,-10.19%,-3.41%,-52.08%,-69.92%,31.39%,39.15,14.19,-4.96%,397400
219,TEVA,Teva Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Other,Israel,34258.95,19.5,-3.74%,-8.78%,-20.72%,-44.48%,-6.44%,-9.41%,-28.65%,-46.02%,0.57%,32.95,33.75,-0.65%,9961500
220,BLCM,"Bellicum Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,353.45,,-8.12%,-16.96%,-18.86%,3.39%,-8.04%,-23.08%,-14.24%,-43.23%,81.22%,29.18,13.12,-4.79%,307400
221,ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,3298.77,,-12.14%,-11.55%,8.21%,-49.70%,-7.60%,-9.74%,-33.89%,-52.63%,21.80%,38.86,38.22,-8.12%,1367700
222,ALOG,Analogic Corporation,Healthcare,Medical Laboratories & Research,USA,1002.29,76.71,-1.28%,-3.53%,-2.76%,6.51%,-2.72%,-6.37%,-4.17%,-15.71%,18.01%,33.39,80.7,-1.16%,143000
223,AMAG,"AMAG Pharmaceuticals, Inc.",Healthcare,Diagnostic Substances,USA,797.89,66.91,1.52%,-35.23%,-0.89%,1.13%,-27.01%,-26.54%,-10.26%,-36.60%,30.30%,28.89,23.35,1.52%,1220600
224,EPZM,"Epizyme, Inc.",Healthcare,Biotechnology,USA,609.11,,-12.13%,-4.98%,17.98%,5.74%,-11.34%,-6.76%,1.83%,-21.99%,49.57%,34.5,10.5,-7.89%,401900
225,MYOK,"MyoKardia, Inc.",Healthcare,Biotechnology,USA,381.22,,-10.43%,-7.09%,-21.30%,15.17%,-6.86%,-17.13%,-18.32%,-45.47%,99.52%,34.69,12.45,-8.79%,149500
226,RDNT,"RadNet, Inc.",Healthcare,Medical Laboratories & Research,USA,272.09,62.63,-4.80%,-3.25%,-20.56%,9.98%,-6.99%,-6.52%,-2.50%,-25.44%,27.68%,38.05,5.95,-4.03%,119800
227,RDY,Dr. Reddy's Laboratories Limited,Healthcare,Drug Manufacturers - Other,India,7546.51,46.81,-2.56%,-5.33%,-3.00%,2.57%,-2.83%,-5.18%,-6.03%,-19.90%,8.10%,35.21,43.72,0.28%,232600
228,VNDA,Vanda Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,582.79,,-8.50%,-15.94%,-16.67%,52.32%,-13.38%,-15.26%,2.34%,-25.28%,94.65%,28.28,13.45,-5.61%,627201
229,OPK,"Opko Health, Inc.",Healthcare,Biotechnology,USA,5000.53,,-4.08%,-22.82%,-5.50%,8.51%,-14.67%,-14.38%,-11.67%,-26.50%,25.42%,32.04,8.93,-2.40%,6335964
230,CBPO,"China Biologic Products, Inc.",Healthcare,Biotechnology,China,2819.34,28.64,-8.01%,-8.87%,-10.99%,-17.23%,-5.62%,-9.34%,-10.79%,-24.19%,3.60%,33.17,104.15,-4.53%,298043
231,AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,1738.33,,-3.41%,-22.20%,-13.52%,-17.93%,-6.38%,-20.19%,-14.32%,-39.00%,23.34%,36.22,41.32,-0.55%,560800
232,AXSM,"Axsome Therapeutics, Inc.",Healthcare,Biotechnology,USA,101.57,,-10.00%,-10.00%,-25.93%,-58.46%,-14.69%,-18.05%,-31.22%,-60.61%,2.86%,28.11,5.4,-2.70%,153600
233,QDEL,Quidel Corporation,Healthcare,Diagnostic Substances,USA,647.54,,-0.35%,-11.67%,-5.09%,11.64%,-4.46%,-7.62%,-1.41%,-17.46%,49.58%,36.66,19.76,-0.85%,157600
234,SELB,"Selecta Biosciences, Inc.",Healthcare,Biotechnology,USA,271.53,,-10.15%,-32.16%,-10.04%,,-14.77%,-26.82%,-7.75%,-46.89%,44.93%,27.15,14.87,-1.98%,112300
235,OMED,"OncoMed Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,282.31,,-12.30%,-1.55%,-23.32%,-51.83%,-4.48%,-10.75%,-29.84%,-57.30%,2.83%,39.36,7.63,-5.10%,127300
236,OMER,Omeros Corporation,Healthcare,Biotechnology,USA,386.66,,-8.79%,-12.33%,23.02%,-9.15%,-11.06%,-16.97%,-19.71%,-46.25%,25.42%,29.71,9.03,-3.22%,306300
237,TCMD,"Tactile Systems Technology, Inc.",Healthcare,Medical Instruments & Supplies,USA,252.13,3792.5,-1.88%,-4.17%,-17.10%,,-4.17%,-7.57%,-7.65%,-31.94%,51.70%,38.09,15.17,0.00%,73600
238,TECH,Bio-Techne Corporation,Healthcare,Biotechnology,USA,3718.71,37.74,-4.05%,-5.73%,-5.98%,20.47%,-4.18%,-5.03%,-5.95%,-15.11%,25.54%,33.22,99.06,-2.30%,192400
239,CRVS,"Corvus Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,295.6,,-0.56%,-15.51%,-7.05%,,-4.55%,-6.73%,-1.84%,-20.59%,46.52%,38.87,14.11,-0.42%,10200
240,MNK,Mallinckrodt Public Limited Company,Healthcare,Drugs - Generic,United Kingdom,5332.91,11.27,-7.71%,-6.26%,-24.92%,-24.89%,-5.16%,-9.85%,-22.32%,-42.42%,1.67%,35.67,49.42,-2.41%,1678200
